Title,Year,Agency,Keywords
The Location of Industrial Innovation: Does Manufacturing Matter?,2013,Center for Economic Studies,working;economic;rdc;paper;studies;center;firm;discussion;productivity;manufacturing
Entrepreneurship and Urban Growth: An Empirical Assessment with Historical Mines,2015,Review of Economics and Statistics,data;center;census;business;firms;working;rdc;firm;productivity;economics
Agglomerative Forces and Cluster Shapes,2012,Center for Economic Studies,business;working;economic;rdc;paper;studies;center;firm;discussion;productivity
What Causes Industry Agglomeration? Evidence from Coagglomeration Patterns,2010,American Economic Review,data;center;census;business;impact;working;economic;firm;evidence;productivity
Transition to Clean Technology,2014,HBS,data;center;census;business;firms;rdc;paper;working;firm;productivity
Clusters of entrepreneurship,2009,NBER,discussion;data;center;census;business;firms;paper;working;firm;productivity
Growth Through Heterogeneous Innovations,2010,NBER,data;center;census;business;firms;rdc;paper;working;firm;productivity
Clusters of entrepreneurship,2010,Journal of Urban Economics,discussion;data;center;census;business;impact;firm;journal;productivity;economics
Local Industrial Conditions and Entrepreneurship: How Much of the Spatial Distribution Can We Explain?,2009,Journal of Economics and Management Strategy,discussion;data;center;census;business;impact;firm;journal;productivity;economics
"Banking Deregulations, Financing Constraints and Firm Entry Size",2009,NBER,discussion;data;center;census;business;firms;paper;working;productivity;firm
Heterogeneous Technology Diffusion and Ricardian Trade Patterns,2018,World Bank Economic Review,center;census;business;firms;working;economic;rdc;firm;productivity;trade
Skilled Immigration and the Employment Structures of U.S. Firms,2015,Journal of Labor Economics,center;census;business;rdc;firm;labor;journal;productivity;firms;economics
Growth through Heterogeneous Innovations,2012,Center for Economic Studies,business;working;economic;rdc;paper;studies;center;firm;discussion;productivity
University Innovation and Local Economic Growth,2017,Hebrew University,census;business;working;economic;rdc;paper;firm;discussion;productivity;university
"Innovation, Reallocation and Growth",2013,NBER,data;center;census;business;firms;rdc;paper;working;firm;productivity
"Innovation, Reallocation and Growth",2013,Center for Economic Studies,business;working;economic;rdc;paper;studies;center;firm;discussion;productivity
Skilled Immigration and the Employment Structures of U.S. Firms,2013,NBER,data;center;census;business;rdc;paper;working;firm;productivity;firms
Transition to Clean Technology,2016,Journal of Political Economy,discussion;data;center;census;business;firms;rdc;firm;journal;productivity
Transition to Clean Technology,2014,NBER,data;center;census;business;firms;rdc;paper;working;firm;productivity
Entrepreneurship as Experimentation,2014,Journal of Economic Perspectives,data;center;census;business;firms;economic;rdc;firm;journal;productivity
Labor Regulations and European Venture Capital,2014,Journal of Economics and Management Strategy,center;census;business;firms;rdc;firm;labor;journal;productivity;economics
"Banking Deregulations, Financing Constraints and Firm Entry Size",2010,Journal of the European Economic Association,discussion;data;center;census;business;impact;economic;journal;productivity;firm
Entrepreneurship and Urban Growth: An Empirical Assessment with Historical Mines,2013,Center for Economic Studies,business;working;economic;rdc;paper;studies;center;firm;discussion;productivity
Growth through Heterogeneous Innovations,2018,Journal of Political Economy,discussion;data;center;census;business;firms;rdc;firm;journal;productivity
Growth through Heterogeneous Innovations,2015,Penn Institute for Economic Research,center;census;business;firms;economic;rdc;paper;working;firm;productivity
Agglomerative Forces and Cluster Shapes,2015,Review of Economics and Statistics,data;center;census;business;firms;working;rdc;firm;productivity;economics
Cheaper by the Dozen: Using Sibling Discounts at Catholic Schools to Estimate the Price Elasticity of Private School Attendance,2009,NBER,economics;discussion;data;center;census;business;impact;economic;working;papers
Cheaper by the Dozen: Using Sibling Discounts at Catholic Schools to Estimate the Price Elasticity of Private School Attendance,2011,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
Cheaper by the Dozen: Using Sibling Discounts at Catholic Schools to Estimate the Price Elasticity of Private School Attendance,2010,Harvard Business School Working Paper,economics;economic;discussion;data;center;census;impact;paper;working;business
How Concentrated is the U.S. Advertising and Marketing Services Industry? Myth versus Reality,2014,Journal of Current Issues & Research in Advertising,economics;economic;discussion;data;center;census;business;impact;rdc;journal
The Unbundling of Advertising Agency Services: An Economic Analysis,2010,Harvard Business School,economics;discussion;data;center;census;impact;economic;paper;working;business
The Unbundling of Advertising Agency Services: An Economic Analysis,2012,Review of Marketing Science,evidence;economics;discussion;data;center;census;business;impact;working;economic
Private and Public Merge Waves,2013,Journal of Finance,evidence;economics;economic;discussion;data;center;census;business;impact;journal
Do Public Firms Respond to Investment Opportunities More than Private Firms? The Impact of Initial Firm Quality,2017,NBER,data;center;census;business;rdc;paper;working;firm;impact;firms
Job Changing and the Decline in Long-Distance Migration in the United States,2017,Demography,economics;economic;discussion;data;center;census;business;impact;working;rdc
Declining Migration with the U.S.: The Roles of the Labor Market,2014,NBER,data;center;census;business;firm;rdc;paper;working;labor;market
Declining Migration within the U.S.: The Role of the Labor Market,2013,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;labor;market
Decentralization versus Centralization in IT Governance: It's Not as Simple as You Might Think,2012,Communications of the ACM,economic;discussion;data;center;census;business;working;rdc;productivity;firms
Information Technology and Boundary of the Firm: Evidence from Plant-Level Data,2012,Harvard Business School,census;rdc;paper;working;firm;evidence;business;productivity;firms;data
Delegation in Multi-Establishment Firms: Adaptation vs. Coordination in I.T. Purchasing Authority,2013,Harvard Business School,discussion;data;center;census;rdc;paper;working;business;productivity;firms
Do Market Leaders Lead in Business Process Innovation? The Cases(s) of E-Business Adoption,2011,Harvard Business School,center;census;firm;rdc;paper;working;productivity;firms;market;business
Do Market Leaders Lead in Business Process Innovation? The Cases(s) of E-Business Adoption,2011,Center for Economic Studies,economic;rdc;paper;studies;center;discussion;productivity;firms;market;business
Delegation in Multi-Establishment Firms: The Organizational Structure of I.T. Purchasing Authority,2010,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;productivity;firms
Delegation in Multi‐Establishment Firms: Evidence from I.T. Purchasing,2014,Journal of Economics and Management Strategy,data;center;census;business;rdc;evidence;journal;productivity;economics;firms
Do Market Leaders Lead in Business Process Innovation? The Case(s) of E-Business Adoption,2015,Management Science,discussion;data;center;census;working;rdc;productivity;firms;market;business
Plant-Level Productivity and Imputation of Missing Data in the Census of Manufactures,2011,Center for Economic Studies,economic;rdc;paper;studies;center;discussion;census;data;manufacturing;productivity
Plant-Level Productivity and Imputation of Missing Data in the Census of Manufactures,2011,NBER,center;business;firm;rdc;paper;working;census;data;manufacturing;productivity
Defining Clusters of Related Industries,2013,Temple University,discussion;data;center;census;business;firms;working;rdc;mimeo;university
Spatial Organization of Firms and Location Choices through the Value Chain,2013,Harvard Business School,economic;discussion;data;center;census;rdc;paper;working;business;firms
Spatial Organization of Firms and Location Choices through the Value Chain,2016,Management Science,economic;discussion;data;center;census;business;impact;working;rdc;firms
Defining Clusters of Related Industries,2016,Journal of Economic Geography,economics;discussion;data;center;census;business;impact;economic;rdc;journal
"Clusters, Convergence, and Economic Performance",2012,NBER,discussion;data;center;census;business;firms;economic;rdc;paper;working
"Clusters, Convergence, and Economic Performance",2014,Research Policy,economics;discussion;data;center;census;business;impact;working;economic;rdc
"Clusters, Convergence, and Economic Performance",2010,Center for Economic Studies,census;business;firms;working;rdc;paper;studies;center;discussion;economic
Clusters and Entrepreneurship,2010,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
Spatial Organization of Firms: Internal and External Agglomeration Economies and Location Choices through the Value Chain,2012,Center for Economic Studies,census;business;working;economic;rdc;paper;studies;center;discussion;firms
"Who Benefits From Productivity Growth? The Local and Aggregate Impacts of Local TFP Shocks on Wages, Rents, and Inequality",2015,University of Chicago,data;center;census;business;firm;working;rdc;mimeo;university;productivity
"Who Benefits From Productivity Growth? Direct and Indirect Effects of Local TFP Growth on Wages, Rents, and Inequality",2018,NBER,discussion;data;center;census;business;firms;rdc;paper;working;productivity
Local Manufacturing Establishments and the Earnings of Manufacturing Workers: Insights from Matched Employer-Employee Data,2011,Center for Economic Studies,working;economic;rdc;paper;studies;center;discussion;labor;data;manufacturing
Motivating Industrial Energy Efficiency through Performance-based Indicators,2007," Proceedings - 2007 ACEEE Summer Study on Energy Efficiency in Industry IMPROVING INDUSTRIAL COMPETITIVENESS: ADAPTING TO VOLATILE ENERGY MARKETS, GLOBALIZATION, AND ENVIRONMENTAL",economics;economic;discussion;data;center;census;business;impact;working;manufacturing
Preliminary Analysis of the Distributions of Carbon and Energy Intensity for 27 Energy Intensive Trade Exposed Industrial Sectors,2011,Duke Environmental Economics,center;census;business;firm;rdc;paper;working;trade;economics;manufacturing
Development of a Performance-based Industrial Energy Efficiency Indicator for Food Processing Plants,2009,Environmental Protection Agency,economics;economic;discussion;data;center;census;impact;working;business;manufacturing
Development of a Performance-based Industrial Energy Efficiency Indicator for Glass Manufacturing Plants,2009,Environmental Protection Agency,economics;economic;discussion;data;center;census;impact;working;business;manufacturing
Financial Implications of the Price of Carbon for 27 Energy Intensive Trade Exposed Industrial Sectors,2012,Unknown,discussion;data;center;census;business;firms;paper;working;trade;manufacturing
Are Firm Management Practices a Source of Energy Efficiency? Evidence from the U.S. Manufacturing Sector,2012,Unknown,data;center;census;business;firms;paper;working;firm;evidence;manufacturing
Estimating Plant Level Energy Efficiency with a Stochastic Frontier,2008,The Energy Journal,economic;discussion;data;center;census;business;impact;journal;economics;manufacturing
The War at Home: Effects of Vietnam-Era Military Service on Postwar Household Stability,2011,American Economic Review,evidence;economics;discussion;data;center;census;business;impact;working;economic
The Causal Effects of Vietnam-era Military Service on Post-war Family Dynamics,2013,Social Science Research,economics;economic;discussion;data;center;census;business;impact;working;rdc
Spillovers from Costly Credit,2012,Northwestern University,center;census;business;firm;working;rdc;mimeo;evidence;university;market
Spillovers from Costly Credit,2013,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;evidence;market
Spillovers from Costly Credit,2018,Review of Financial Studies,data;center;census;business;firms;working;rdc;studies;evidence;market
Do the Job Effects of Regulation Differ with the Competitive Environment?,2013,"In Does Regulation Kill Jobs?, edited by Cary Coglianese, Adam M Finkel, and Christopher Carrigan, University of Pennsylvania Press",economic;discussion;data;center;census;business;firms;working;rdc;university
Do EPA Regulations Affect Labor Demand? Evidence from the Pulp and Paper Industry,2013,Center for Economic Studies,firm;working;economic;rdc;studies;center;discussion;evidence;labor;paper
"Environmental Regulation, Abatement, and Productivity: A Frontier Analysis",2013,Center for Economic Studies,business;firm;working;economic;rdc;paper;studies;center;discussion;productivity
Do EPA Regulations Affect Labor Demand? Evidence from the Pulp and Paper Industry,2014,Journal of Environmental Economics and Management,center;census;business;firms;rdc;paper;evidence;labor;journal;economics
Measuring the Impact of the Toxics Release Inventory: Evidence from Manufacturing Plant Births,2013,Center for Economic Studies,working;economic;rdc;paper;studies;center;discussion;evidence;impact;manufacturing
Environmental Performance or Productivity Loss?,2016,"In Information, Models, and Sustainability: Public Administration and Information Technology, edited by J Zhang, L Luna-Reyes, T Pardo, and D Sayogo, Springer",economic;discussion;data;center;census;business;firms;working;rdc;productivity
The Effect of Environmental Regulation on Plant-Level Product Mix: A Study of EPA's Cluster Rule,2017,Journal of Environmental Economics and Management,economic;discussion;data;center;census;business;impact;rdc;journal;economics
Spatial Patterns in Regulatory Enforcement: Local Tests of Environmental Justice,2012,"In The Political Economy of Environmental Justice, edited by H Spencer Banzhaf Stanford University Press",economic;discussion;data;center;census;business;firms;working;rdc;university
Environmental Regulation and Product Mix: Evidence from the Census of Manufactures,2012,George Washington University,economic;discussion;data;center;business;impact;working;evidence;university;census
Environmental Regulation and Industry Employment: A Reassessment,2013,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
Estimating the Job Impacts of Environmental Regulation,2015,Journal of Benefit-Cost Analysis,economics;economic;discussion;data;center;census;business;impact;rdc;journal
Environmental Justice: Do Poor and Minority Populations Face More Hazards?,2012,"In The Oxford Handbook of the Economics of Poverty, edited by Philip N Jefferson, Oxford University Press",discussion;data;center;census;business;firms;working;rdc;university;economics
Export Prices of U.S. Firms,2011,NBER,center;census;business;firm;rdc;paper;working;productivity;firms;manufacturing
Export Prices of U.S. Firms,2011,Center for Economic Studies,working;economic;rdc;paper;studies;center;discussion;productivity;firms;manufacturing
Foreign Direct Investment Relationship and Plant Exit: Evidence from the United States,2012,Bureau of Economic Analysis,center;census;business;firms;economic;rdc;paper;working;evidence;trade
The Productivity Advantage and Global Scope of U.S. Multinational Firms,2011,Center for Economic Studies,working;economic;rdc;paper;studies;center;discussion;productivity;trade;firms
Industrial Concentration of Ethnic Minority- and Women-Owned Businesses in the United States,2013,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
"Beyond Ethnic Enclaves? Exploring the Spatial Distribution of
Latino-Owned Employer Firms in Two U.S. Immigration Gateways",2013,Journal of Urban Affairs,economics;economic;discussion;data;center;census;business;impact;journal;firms
Industrial Concentration of Ethnic Minority- and Women-Owned Businesses: Evidence from the Survey of Business Owners in the United States,2013,Journal of Small Business and Entrepreneurship,economic;discussion;data;center;census;impact;rdc;evidence;journal;business
Transnational Activities of Immigrant-Owned Firms and Their Performances in the USA,2015,Small Business Economics,discussion;data;center;census;impact;working;rdc;business;firms;economics
Job Referral Networks and the Determination of Earnings in Local Labor Markets,2012,University of Georgia,data;center;census;business;firm;working;rdc;mimeo;labor;university
Job Referral Networks and the Determination of Earnings in Local Labor Markets,2015,Journal of Labor Economics,discussion;data;center;census;business;firms;rdc;journal;economics;labor
Job Referral Networks and the Determination of Earnings in Local Labor Markets,2010,Center for Economic Studies,business;firm;working;economic;rdc;paper;studies;center;discussion;labor
Acquiring Labor,2013,University of North Carolina,data;center;census;business;working;rdc;firm;mimeo;labor;university
The Option to Quit: The Effect of Employee Stock Options on Turnover,2018,Journal of Financial Economics,discussion;data;center;census;business;impact;rdc;firm;journal;economics
Acquiring Labor,2011,Center for Economic Studies,business;working;economic;rdc;paper;studies;center;firm;discussion;labor
Broad-Based Employee Stock Ownership: Motives and Outcomes,2014,Journal of Finance,economic;discussion;data;center;census;business;impact;rdc;firm;journal
Acquiring Labor,2020,The Quarterly Journal of Finance,economic;discussion;data;center;census;business;impact;firm;labor;journal
The Option to Quit: The Effect of Employee Stock Options on Turnover,2014,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;firm;discussion
The Location of Displaced New Orleans Residents in the Year after Hurricane Katrina,2012,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
The Location of Displaced New Orleans Residents in the Year after Hurricane Katrina,2014,Demography,economics;economic;discussion;data;center;census;business;impact;working;rdc
"The Effect of Hurricane Katrina on the Prevalence of Health Impairments and Disability Among Adults in New Orleans: Differences by Age, Race, and Sex",2013,Social Science & Medicine,economics;economic;discussion;data;center;census;business;impact;working;rdc
Migration and Dispersal of Hispanic and Asian Groups: An Analysis of the 2006-2008 Multiyear American Community Survey,2011,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
Educational Attainment and Earnings Inequality among US-Born Men: A Lifetime Perspective,2014,Urban Institute Research Report,economic;discussion;data;center;census;business;firms;working;rdc;labor
Misclassification in Binary Choice Models,2017,Journal of Econometrics,economics;economic;discussion;data;center;census;business;impact;rdc;journal
Misclassification in Binary Choice Models,2013,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
Errors in Survey Reporting and Imputation and their Effects on Estimates of Food Stamp Program Participation,2018,NBER,economic;discussion;data;center;census;business;firms;rdc;paper;working
A Method of Correcting for Misreporting Applied to the Food Stamp Program,2013,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
Bias in Food Stamps Participation Estimates in the Presence of Misreporting Error,2013,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
A Method of Correcting for Misreporting Applied to the Food Stamp Program,2012,University of Chicago,discussion;data;center;census;business;firms;working;rdc;mimeo;university
Misclassification in Binary Choice Models,2015,University of Chicago,discussion;data;center;census;business;firms;working;rdc;mimeo;university
Bias in Food Stamp Participation Estimates in the Presence of Misreporting Error,2012,University of Chicago Department of Statistics,discussion;data;center;census;business;firms;working;rdc;mimeo;university
Errors in Survey Reporting and Imputation and Their Effects on Estimates of Food Stamp Program Participation,2011,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
Domestic Gains from Offshoring? Evidence from TAA-linked U.S. Microdata,2017,Journal of International Economics,center;census;business;firms;rdc;firm;evidence;journal;economics;manufacturing
Three Essays on Offshore Outsourcing and Labor Markets,2009,University of Michigan,data;center;census;business;firms;working;firm;labor;university;manufacturing
Gains from Offshoring? Evidence from U.S. Microdata,2014,Board of Governors of the Federal Reserve System International Finance,census;business;firms;working;rdc;paper;firm;discussion;evidence;manufacturing
Gains from Offshoring? Evidence from U.S. Microdata,2013,Center for Economic Studies,working;economic;rdc;paper;studies;center;firm;discussion;evidence;manufacturing
The Urban Density Premium across Establishments,2016,Journal of Urban Economics,economic;discussion;data;center;census;business;impact;rdc;journal;economics
The Urban Density Premium across Establishments,2014,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
The Role of Industry Classification in the Estimation of Research and Development Expenditures,2014,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;firm;discussion
Allocation of Company Research and Development Expenditures to Industries Using a Tobit Model,2015,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;firm;discussion
Capital and Labor Reallocation within Firms,2015,Journal of Finance,discussion;data;center;census;business;rdc;labor;journal;productivity;firms
Soft Information and Investment: Evidence from Plant-Level Data,2010,Center for Economic Studies,working;economic;rdc;paper;studies;center;discussion;evidence;productivity;data
Soft Information and Investment: Evidence from Plant-Level Data,2011,New York University,discussion;center;census;business;firms;working;evidence;university;productivity;data
Proximity and Investment: Evidence from Plant-Level Data,2011,MIT Sloan School of Management,center;census;business;firms;working;rdc;mimeo;evidence;productivity;data
Capital and Labor Reallocation Inside Firms,2013,NBER,center;census;business;firm;rdc;paper;working;labor;productivity;firms
Capital and Labor Reallocation Inside Firms,2013,Center for Economic Studies,working;economic;rdc;paper;studies;center;discussion;labor;productivity;firms
Proximity and Investment: Evidence from Plant-Level Data,2013,Quarterly Journal of Economics,center;census;business;firms;rdc;evidence;journal;productivity;economics;data
Reallocation and Technology: Evidence from the U.S. Steel Industry,2015,American Economic Review,discussion;data;center;census;business;impact;working;economic;rdc;evidence
Reallocation and Technology: Evidence from the U.S. Steel Industry,2013,NBER,discussion;data;center;census;business;firms;rdc;paper;working;evidence
Dynamic Inputs and Resource (Mis)Allocation,2014,Journal of Political Economy,economics;economic;discussion;data;center;census;business;impact;rdc;journal
Reallocation and Technology: Evidence from the U.S. Steel Industry,2013,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;discussion;evidence
Plant Exit and U.S. Imports from Low-wage Countries,2017,International Economics,discussion;center;census;business;firms;working;rdc;trade;economics;data
Cheap Imports and the Loss of U.S. Manufacturing Jobs,2016,Center for Economic Studies,working;economic;rdc;paper;studies;center;discussion;trade;data;manufacturing
Cheap Imports and the Loss of U.S. Manufacturing Jobs,2015,World Economy,discussion;center;census;business;firms;working;rdc;trade;data;manufacturing
Task Trade and the Wage Effects of Import Competition,2016,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;data;trade
Plant Exit and U.S. Imports from Low-Wage Countries,2016,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;trade;data
Really Uncertain Business Cycles,2014,Center for Economic Studies,census;firms;working;economic;rdc;paper;studies;center;discussion;business
Really Uncertain Business Cycles,2012,NBER,economic;discussion;data;center;census;firms;rdc;paper;working;business
Really Uncertain Business Cycles,2018,Econometrica,economics;economic;discussion;data;center;census;impact;working;rdc;business
Fluctuations in Uncertainty,2014,Center for Economic Studies,census;firms;working;economic;rdc;paper;studies;center;discussion;business
Changes in Firm Pension Policy: Trends Away from Traditional Defined Benefit Plans,2012,Journal of Labor Research,economic;discussion;data;center;census;business;impact;labor;journal;firm
Changes in Firm Pension Policy: Trends Away from Traditional Defined Benefit Plans,2011,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;discussion;firm
Do Housing Prices Reflect Environmental Health Risks? Evidence From More Than 1600 Toxic Plant Openings and Closings,2013,Center for Economic Studies,firms;working;economic;rdc;paper;studies;center;discussion;data;evidence
"Environmental Health Risk and Housing Values: Evidence from 1,600 Toxic Plant Openings and Closings",2015,American Economic Review,discussion;center;census;business;impact;working;economic;rdc;data;evidence
Do Housing Prices Reflect Environmental Health Risks? Evidence From More Than 1600 Toxic Plant Openings and Closings,2012,MIT Department of Economics,discussion;center;census;business;impact;paper;working;economics;data;evidence
Do Housing Prices Reflect Environmental Health Risks? Evidence From More Than 1600 Toxic Plant Openings and Closings,2013,NBER,discussion;center;census;business;firms;rdc;paper;working;data;evidence
Does Financing Spur Small Business Productivity? Evidence from a Natural Experiment,2014,NBER,census;firms;rdc;paper;working;firm;business;productivity;data;evidence
Does Financing Spur Small Business Productivity? Evidence from a Natural Experiment,2013,SSRN,census;firms;rdc;paper;working;firm;business;productivity;data;evidence
Does Financing Spur Small Business Productivity? Evidence from a Natural Experiment,2015,Review of Financial Studies,census;firms;working;rdc;studies;firm;business;productivity;data;evidence
The Early Childhood Care and Education Workforce: Understanding Changes from 1990 through 2010,2013,Education Finance and Policy,economic;discussion;data;center;census;business;firms;working;rdc;market
Does State Preschool Crowd-Out Private Provision? The Impact of Universal Preschool on the Childcare Sector in Oklahoma and Georgia,2012,NBER,data;center;census;business;firm;rdc;paper;working;impact;market
Does State Preschool Crowd-Out Private Provision? The Impact of Universal Preschool on the Childcare Sector in Oklahoma and Georgia,2014,Journal of Urban Economics,data;center;census;business;firms;rdc;journal;impact;economics;market
Evaluating the Impact of MEP Services on Establishment Performance: A Preliminary Empirical Investigation,2012,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;impact;manufacturing
Intra-Firm Spillovers? The Stock and Flow Effects of Collocation,2017,Academy of Management Proceedings.,economics;economic;discussion;data;center;census;business;impact;working;firm
Intra-Firm Spillovers? The Stock and Flow Effects of Collocation,2015,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;firm;discussion
The Bright Side of Corporate Diversification: Evidence from Internal Labor Markets,2015,Review of Financial Studies,data;center;census;business;firms;working;rdc;studies;evidence;labor
Female Leadership and Gender Equity: Evidence from Plant Closure,2012,University of California Los Angeles,data;center;census;business;firms;working;rdc;mimeo;evidence;university
The Human Factor in Acquisitions: Cross-Industry Labor Mobility and Corporate Diversification,2015,Center for Economic Studies,business;firm;working;economic;rdc;paper;studies;center;discussion;labor
The Bright Side of Corporate Diversification: Evidence from Internal Labor Markets,2013,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;evidence;labor
Female Leadership and Gender Equity: Evidence from Plant Closure,2015,Journal of Financial Economics,discussion;data;center;census;business;impact;rdc;evidence;journal;economics
The Bright Side of Corporate Diversification: Evidence from Internal Labor Markets,2012,University of California Los Angeles,center;census;business;firm;working;rdc;mimeo;evidence;labor;university
Nonparametric Generation of Synthetic Data for Small Geographic Areas,2014,"In Privacy in Statistical Databases, edited by Josep Domingo-Ferrer, Springer",economics;economic;discussion;center;census;business;impact;working;rdc;data
Synthetic Data for Small Area Estimation in the American Community Survey,2013,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;discussion;data
Generating Synthetic Microdata to Estimate Small Area Statistics in the American Community Survey,2014,Statistics in Transition,economics;economic;discussion;center;census;business;impact;working;rdc;data
The Transitional Costs of Sectoral Reallocation: Evidence from the Clean Air Act and the Workforce,2012,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;discussion;evidence
The Transitional Costs of Sectoral Reallocation: Evidence from the Clean Air Act and the Workforce,2013,Quarterly Journal of Economics,discussion;data;center;census;business;impact;rdc;journal;economics;evidence
Disentangling Labor Supply and Demand Shifts Using Spatial Wage Dispersion: The Case of Oil Price Shocks,2013,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;labor;manufacturing
"Slow to Hire, Quick to Fire: Employment Dynamics with Asymmetric Responses to News",2017,Center for Economic Studies,business;firm;working;economic;rdc;paper;studies;center;discussion;manufacturing
The Cyclicality of Productivity Dispersion,2011,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;productivity;manufacturing
The Cyclical Nature of the Productivity Distribution,2015,University of Texas,center;census;business;firm;working;rdc;mimeo;university;productivity;manufacturing
"Slow to Hire, Quick to Fire: Employment Dynamics with Asymmetric Responses to News",2018,Journal of Political Economy,economic;discussion;data;center;census;business;firms;rdc;journal;manufacturing
"Returns to Scale, Productivity and Competition: Empirical Evidence from U.S. Manufacturing and Construction Establishments",2017,Unknown,discussion;data;center;census;business;firms;working;evidence;productivity;manufacturing
"Slow to Hire, Quick to Fire: Employment Dynamics with Asymmetric Responses to News",2017,CESifo,discussion;data;center;census;business;firms;rdc;paper;working;manufacturing
Financial Frictions and Investment Dynamics in Multi-Plant Firms,2013,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;firms;manufacturing
"Slow to Hire, Quick to Fire: Employment Dynamics with Asymmetric Responses to News",2015,Center for Economic Studies,business;firm;working;economic;rdc;paper;studies;center;discussion;manufacturing
Should My Car Move or Should I? A Model of Residential and Commuting Choices,2013,University of Virginia,economic;discussion;data;center;census;business;firms;working;rdc;university
Employer-Sim Microsimulation Model: Model Development and Application to Estimation of Tax Subsidies to Health Insurance,2012,Agency for Healthcare Research and Quality,economic;discussion;data;center;census;business;firms;rdc;paper;working
Employer-Sim Microsimulation Model: Model Development and Application to Estimation of Tax Subsidies to Health Insurance,2014,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
Employer-Sim Microsimulation Model: Estimates of Tax Subsidies to Employer-Sponsored Health Insurance,2011,Unknown,economic;discussion;data;center;census;business;firms;working;rdc;mimeo
Income Effects in Labor Supply: Evidence from Child-Related Tax Benefits,2016,Center for Economic Studies,working;economic;rdc;paper;studies;center;discussion;census;evidence;labor
Income Effects on Maternal Labor Supply: Evidence from Child-Related Tax Benefits,2017,National Tax Journal,discussion;data;center;business;firms;rdc;journal;census;evidence;labor
"'It's Not You, It's Me': Breakups in U.S.-China Trade Relationships",2014,Center for Economic Studies,business;working;economic;rdc;paper;studies;center;firm;discussion;trade
Multinational Firms in Context,2013,University of Michigan,data;center;census;business;working;rdc;firm;mimeo;university;firms
Firms' Exporting Behavior under Quality Constraints,2011,"University of Michigan, Ross School of Business",data;center;census;working;rdc;firm;mimeo;university;business;firms
Input Linkages and the Transmission of Shocks: Firm-Level Evidence from the 2011 Tohoku Earthquake,2015,Center for Economic Studies,firms;working;economic;rdc;paper;studies;center;discussion;evidence;firm
The Structure of Export Entry Costs,2013,Federal Reserve Board,discussion;data;center;census;business;firms;working;rdc;firm;mimeo
Product and Process Productivity: Implications for Quality Choice and Conditional Exporter Premia,2013,Journal of International Economics,data;center;census;business;impact;firm;journal;productivity;firms;economics
Input Linkages and the Transmission of Shocks: Firm-Level Evidence from the 2011 Tohoku Earthquake,2015,Unknown,discussion;data;center;census;business;impact;working;mimeo;evidence;firm
Globalization and Top Income Shares,2013,University of Michigan,data;center;census;business;firms;working;rdc;firm;mimeo;university
Identifying Foreign Suppliers in U.S. Merchandise Import Transactions,2015,Center for Economic Studies,census;business;firms;working;economic;paper;studies;center;firm;discussion
Input Linkages and the Transmission of Shocks: Firm-Level Evidence from the 2011 Tohoku Earthquake,2019,Review of Economics and Statistics,data;center;census;business;impact;working;rdc;evidence;economics;firm
Essays on Multinational Production and the Propagation of Shocks,2015,University of Michigan,economic;discussion;data;center;census;business;impact;working;firm;university
"'It's Not You, It's Me': Breakups in U.S.-China Trade Relationships",2016,International Finance,center;census;business;firms;working;rdc;firm;discussion;trade;papers
